param zero := 0.0 ;
param rect_width := 13.2 ;
param rect_length := 18.4 ;
param numPieces := 20 ;
param WIDTHS: LENGTHS: ORDERS :=
          9.2    3.0    5
          2.1    1.3    8
          4.7    1.5    5
          3.9    3.1    5
          1.3    5.3    3
          5.7    8.8    5
          10.6    6.3    6
          6.6    9.2    3
          3.8    9.3    10
          3.7    5.8    5
          8.8    2.6    9
          2.5    5.2    3
          4.9    5.0    5
          10.7    5.4    10
          3.7    2.1    3
          1.2    1.6    2
          1.0    2.8    6
          1.7    9.6    2
          6.3    5.6    1
          2.9    6.1    10
