param zero := 0.0 ;
param rect_width := 12.0 ;
param rect_length := 19.0 ;
param numPieces := 20 ;
param WIDTHS: LENGTHS: ORDERS :=
          9.0    4.0    8
          8.0    4.0    4
          6.0    9.0    4
          9.0    5.0    8
          8.0    9.0    7
          1.0    7.0    3
          8.0    3.0    1
          2.0    1.0    6
          4.0    6.0    8
          9.0    2.0    3
          7.0    5.0    1
          2.0    5.0    10
          6.0    6.0    2
          3.0    10.0    4
          10.0    6.0    2
          6.0    9.0    10
          7.0    1.0    1
          1.0    1.0    1
          2.0    9.0    6
          6.0    9.0    8
