param zero := 0.0 ;
param rect_width := 12.0 ;
param rect_length := 14.0 ;
param numPieces := 40 ;
param WIDTHS: LENGTHS: ORDERS :=
          10.0    4.0    7
          7.0    4.0    10
          4.0    7.0    8
          3.0    5.0    4
          1.0    6.0    3
          1.0    1.0    1
          3.0    8.0    6
          1.0    8.0    7
          6.0    4.0    10
          6.0    4.0    10
          2.0    7.0    10
          1.0    2.0    9
          3.0    1.0    4
          2.0    1.0    1
          1.0    2.0    5
          5.0    7.0    5
          3.0    1.0    4
          3.0    2.0    4
          9.0    1.0    1
          7.0    9.0    1
          9.0    5.0    5
          3.0    2.0    10
          2.0    4.0    8
          6.0    7.0    3
          10.0    10.0    7
          7.0    6.0    10
          10.0    1.0    6
          7.0    7.0    1
          2.0    10.0    1
          4.0    5.0    9
          7.0    7.0    8
          4.0    8.0    8
          10.0    2.0    4
          3.0    5.0    5
          7.0    10.0    6
          3.0    7.0    5
          3.0    4.0    6
          10.0    7.0    10
          2.0    10.0    6
          1.0    9.0    4
