param zero := 0.0 ;
param rect_width := 13.0 ;
param rect_length := 13.0 ;
param numPieces := 30 ;
param WIDTHS: LENGTHS: ORDERS :=
          2.0    5.0    9
          10.0    4.0    1
          8.0    5.0    10
          4.0    6.0    4
          1.0    9.0    10
          2.0    3.0    6
          10.0    7.0    5
          5.0    1.0    9
          7.0    7.0    2
          9.0    3.0    9
          10.0    4.0    3
          8.0    10.0    1
          1.0    3.0    5
          3.0    3.0    9
          5.0    5.0    4
          3.0    9.0    9
          5.0    2.0    6
          1.0    5.0    8
          7.0    9.0    9
          1.0    4.0    1
          10.0    3.0    4
          5.0    5.0    8
          6.0    4.0    7
          6.0    4.0    3
          2.0    1.0    4
          5.0    10.0    3
          8.0    5.0    6
          3.0    1.0    5
          7.0    6.0    8
          10.0    8.0    3
