param zero := 0.0 ;
param rect_width := 18.5 ;
param rect_length := 17.1 ;
param numPieces := 30 ;
param WIDTHS: LENGTHS: ORDERS :=
          6.8    5.3    2
          3.4    2.5    1
          6.0    2.8    9
          9.6    8.2    8
          5.6    6.1    2
          6.5    4.5    2
          7.1    4.7    10
          7.8    2.6    3
          3.1    8.1    2
          7.4    1.4    8
          1.7    5.1    3
          2.2    5.3    5
          10.9    10.6    1
          4.6    1.1    3
          2.7    1.9    4
          1.3    2.7    2
          8.9    5.5    2
          8.4    4.7    1
          10.6    9.0    4
          9.3    4.5    10
          10.0    4.3    7
          4.7    7.1    4
          5.2    6.2    1
          1.1    2.4    6
          10.3    2.4    5
          10.7    3.9    10
          2.7    1.8    6
          5.7    7.9    9
          10.9    1.0    9
          7.8    10.0    10
